172.19.0.6 - - [14/Feb/2025:11:14:37 +0000] "GET /-service HTTP/1.1" 404 6622 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
172.19.0.6 - - [14/Feb/2025:11:14:41 +0000] "GET /-service HTTP/1.1" 404 6622 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
172.19.0.6 - - [14/Feb/2025:11:19:23 +0000] "GET /-service HTTP/1.1" 404 6622 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
172.19.0.6 - - [14/Feb/2025:11:19:32 +0000] "GET /-service/api/login HTTP/1.1" 404 6622 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
172.19.0.6 - - [14/Feb/2025:11:28:31 +0000] "GET /-service/api/login HTTP/1.1" 404 6622 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
172.19.0.6 - - [14/Feb/2025:11:28:35 +0000] "GET /-service HTTP/1.1" 404 6622 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
172.19.0.6 - - [14/Feb/2025:11:28:38 +0000] "GET /-service/ HTTP/1.1" 404 6622 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
172.19.0.6 - - [14/Feb/2025:11:28:57 +0000] "GET / HTTP/1.1" 500 176009 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
172.19.0.6 - - [14/Feb/2025:11:29:15 +0000] "GET / HTTP/1.1" 500 116642 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
172.19.0.6 - - [14/Feb/2025:11:29:16 +0000] "GET / HTTP/1.1" 500 116642 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
172.19.0.6 - - [14/Feb/2025:11:29:32 +0000] "GET / HTTP/1.1" 500 380832 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
172.19.0.6 - - [14/Feb/2025:11:34:52 +0000] "GET / HTTP/1.1" 500 382251 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
172.19.0.6 - - [14/Feb/2025:11:35:13 +0000] "GET / HTTP/1.1" 200 23438 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
172.19.0.6 - - [14/Feb/2025:11:35:25 +0000] "GET / HTTP/1.1" 200 23438 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" "172.19.0.1"
