172.19.0.1 - - [27/Feb/2025:09:08:03 +0000] "POST /design-service/projects HTTP/1.1" 500 48 "-" "-" 23 "design@docker" "http://172.19.0.3:8070" 2ms
172.19.0.1 - - [27/Feb/2025:09:19:39 +0000] "POST /design-service/projects HTTP/1.1" 400 42 "-" "-" 24 "design@docker" "http://172.19.0.3:8070" 1ms
172.19.0.1 - - [27/Feb/2025:09:21:30 +0000] "POST /design-service/projects HTTP/1.1" 500 48 "-" "-" 25 "design@docker" "http://172.19.0.3:8070" 3ms
172.19.0.1 - - [27/Feb/2025:09:23:15 +0000] "POST /design-service/projects HTTP/1.1" 500 82 "-" "-" 26 "design@docker" "http://172.19.0.3:8070" 3ms
172.19.0.1 - - [27/Feb/2025:09:35:46 +0000] "POST /design-service/projects HTTP/1.1" 500 93 "-" "-" 27 "design@docker" "http://172.19.0.3:8070" 6ms
172.19.0.1 - - [27/Feb/2025:09:35:59 +0000] "GET /design-service/projects HTTP/1.1" 200 619 "-" "-" 28 "design@docker" "http://172.19.0.3:8070" 1ms
172.19.0.1 - - [27/Feb/2025:09:40:49 +0000] "POST /design-service/projects HTTP/1.1" 502 11 "-" "-" 29 "design@docker" "http://172.19.0.3:8070" 5ms
172.19.0.1 - - [27/Feb/2025:09:40:53 +0000] "POST /design-service/projects HTTP/1.1" 405 0 "-" "-" 30 "frontend@docker" "http://172.19.0.4:5173" 25ms
172.19.0.1 - - [27/Feb/2025:09:40:57 +0000] "POST /design-service/projects HTTP/1.1" 405 0 "-" "-" 31 "frontend@docker" "http://172.19.0.4:5173" 3ms
172.19.0.1 - - [27/Feb/2025:09:41:00 +0000] "GET /design-service/projects HTTP/1.1" 404 0 "-" "-" 32 "frontend@docker" "http://172.19.0.4:5173" 8ms
172.19.0.1 - - [27/Feb/2025:09:41:05 +0000] "GET /design-service/projects HTTP/1.1" 404 0 "-" "-" 33 "frontend@docker" "http://172.19.0.4:5173" 17ms
172.19.0.1 - - [27/Feb/2025:09:42:04 +0000] "GET /design-service/projects HTTP/1.1" 200 619 "-" "-" 34 "design@docker" "http://172.19.0.3:8070" 2ms
172.19.0.1 - - [27/Feb/2025:09:42:10 +0000] "POST /design-service/projects HTTP/1.1" 502 11 "-" "-" 35 "design@docker" "http://172.19.0.3:8070" 4ms
172.19.0.1 - - [27/Feb/2025:09:42:15 +0000] "GET /design-service/projects HTTP/1.1" 404 0 "-" "-" 37 "frontend@docker" "http://172.19.0.4:5173" 5ms
172.19.0.1 - - [27/Feb/2025:09:42:13 +0000] "POST /design-service/projects HTTP/1.1" 504 15 "-" "-" 36 "design@docker" "http://172.19.0.3:8070" 30003ms
172.19.0.1 - - [27/Feb/2025:09:45:50 +0000] "POST /design-service/projects HTTP/1.1" 405 0 "-" "-" 38 "frontend@docker" "http://172.19.0.4:5173" 4ms
172.19.0.1 - - [27/Feb/2025:09:45:56 +0000] "GET /design-service/projects HTTP/1.1" 404 0 "-" "-" 39 "frontend@docker" "http://172.19.0.4:5173" 14ms
172.19.0.1 - - [27/Feb/2025:09:46:06 +0000] "GET /design-service/projects HTTP/1.1" 404 0 "-" "-" 40 "frontend@docker" "http://172.19.0.4:5173" 7ms
172.19.0.1 - - [27/Feb/2025:09:47:21 +0000] "GET /design-service/projects HTTP/1.1" 200 619 "-" "-" 41 "design@docker" "http://172.19.0.3:8070" 3ms
172.19.0.1 - - [27/Feb/2025:09:47:26 +0000] "POST /design-service/projects HTTP/1.1" 201 337 "-" "-" 42 "design@docker" "http://172.19.0.3:8070" 13ms
172.19.0.1 - - [27/Feb/2025:09:47:29 +0000] "GET /design-service/projects HTTP/1.1" 200 920 "-" "-" 43 "design@docker" "http://172.19.0.3:8070" 1ms
172.19.0.1 - - [27/Feb/2025:09:48:43 +0000] "POST /design-service/projects HTTP/1.1" 201 337 "-" "-" 44 "design@docker" "http://172.19.0.3:8070" 12ms
172.19.0.1 - - [27/Feb/2025:09:48:48 +0000] "GET /design-service/projects HTTP/1.1" 200 1221 "-" "-" 45 "design@docker" "http://172.19.0.3:8070" 1ms
172.19.0.1 - - [27/Feb/2025:09:48:50 +0000] "GET /design-service/projects HTTP/1.1" 200 1221 "-" "-" 46 "design@docker" "http://172.19.0.3:8070" 1ms
172.19.0.1 - - [27/Feb/2025:09:52:32 +0000] "POST /design-service/projects HTTP/1.1" 201 334 "-" "-" 47 "design@docker" "http://172.19.0.3:8070" 14ms
172.19.0.1 - - [27/Feb/2025:10:05:25 +0000] "POST /design-service/projects HTTP/1.1" 500 120 "-" "-" 48 "design@docker" "http://172.19.0.3:8070" 4ms
172.19.0.1 - - [27/Feb/2025:10:05:32 +0000] "GET /design-service/projects HTTP/1.1" 200 1519 "-" "-" 49 "design@docker" "http://172.19.0.3:8070" 1ms
